Date,Open,High,Low,Close,Adj Close,Volume
2020-02-27,13.000000,13.350000,12.505000,12.562500,12.262975,58818800
2020-02-28,12.250000,12.630000,11.805000,12.630000,12.328866,78799200
2020-03-02,12.675000,13.360000,12.455000,13.137500,12.824265,64611600
2020-03-03,13.170000,13.700000,12.917500,13.212500,12.897476,58392000
2020-03-04,13.600000,13.615000,12.967500,13.112500,12.799862,45342400
2020-03-05,13.000000,13.000000,11.650000,11.947500,11.662638,84786000
2020-03-06,11.032500,11.602500,10.762500,11.332500,11.062302,113371200
2020-03-09,9.755000,10.590000,9.695000,10.090000,9.849426,97178400
2020-03-10,11.250000,11.752500,10.570000,11.747500,11.467407,82114000
2020-03-11,11.250000,11.692500,9.975000,10.770000,10.513213,80331600
2020-03-12,9.000000,9.707500,7.642500,8.500000,8.297336,70036800
2020-03-13,10.625000,10.690000,8.552500,10.500000,10.249650,120562800
2020-03-16,8.750000,9.977500,8.517500,8.517500,8.314419,92384800
2020-03-17,9.030000,9.420000,8.212500,8.892500,8.680478,108219600
2020-03-18,8.005000,8.405000,6.617500,7.202500,7.030772,121748400
2020-03-19,6.875000,7.842500,6.250000,7.637500,7.455400,112723200
2020-03-20,8.200000,9.017500,7.662500,7.662500,7.479804,113467200
2020-03-23,8.125000,8.232500,7.390000,7.552500,7.372427,85826000
2020-03-24,8.430000,9.447500,8.430000,9.170000,8.951362,82749200
2020-03-25,9.225000,10.837500,9.180000,10.000000,9.761573,125173600
2020-03-26,10.160000,11.100000,10.065000,10.280000,10.034895,91541200
2020-03-27,9.672500,10.185000,9.412500,9.750000,9.517533,68294000
2020-03-30,10.250000,10.505000,9.950000,10.400000,10.152035,75768800
2020-03-31,10.620000,10.800000,9.702500,9.747500,9.515093,97161600
2020-04-01,9.350000,9.782500,9.017500,9.370000,9.146593,73661200
2020-04-02,9.555000,9.675000,8.777500,8.972500,8.758571,82290000
2020-04-03,8.835000,8.912500,8.332500,8.885000,8.673157,65810400
2020-04-06,9.600000,9.845000,9.305000,9.550000,9.322302,65006000
2020-04-07,10.360000,10.650000,10.022500,10.022500,9.783534,78595200
2020-04-08,10.067500,10.550000,9.860000,10.490000,10.239889,63285200
2020-04-09,10.705000,10.925000,10.315000,10.412500,10.164237,51879600
2020-04-13,10.272500,10.525000,10.167500,10.477500,10.227687,33824400
2020-04-14,10.725000,10.850000,10.585000,10.725000,10.651780,45244400
2020-04-15,10.525000,11.080000,10.375000,10.962500,10.887658,54122400
2020-04-16,11.162500,11.500000,11.050000,11.392500,11.314722,58323600
2020-04-17,11.670000,11.722500,10.975000,11.147500,11.071396,48467600
2020-04-20,10.930000,12.137500,10.812500,12.120000,12.037256,79855600
2020-04-22,12.375000,13.045000,12.275000,12.637500,12.551223,89495600
2020-04-23,12.965000,13.125000,12.145000,12.367500,12.283067,70189600
2020-04-24,12.097500,12.287500,10.670000,11.845000,11.764133,105959200
2020-04-27,12.307500,12.500000,12.000000,12.375000,12.290515,70010000
2020-04-28,12.750000,12.950000,12.537500,12.950000,12.861588,57947200
2020-04-29,13.150000,13.222500,12.537500,12.655000,12.568603,67120400
2020-04-30,12.465000,12.887500,12.277500,12.425000,12.340174,46767600
